,nome,team,img,titolare,entrato,squalificato,infortunato,inutilizzato,presenze,minuti_giocati,sostituito,cartellini_gialli,cartellini_rossi,%_bonus_match,%_malus_match,%_match_voto,%_sostituzione
0,Amiri,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/AMIRI.png,3,4,0,0,25,7,275,3,0,0,0.0,0.0,18.75,100.0
0,Amrabat,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/AMRABAT.png,4,14,0,2,12,18,558,2,4,0,5.56,22.22,40.62,50.0
0,Aramu,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/ARAMU.png,21,5,3,2,1,26,1717,16,5,0,30.77,19.23,81.25,76.19
0,Arslan,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/ARSLAN.png,18,7,1,0,6,25,1434,18,8,0,4.0,32.0,75.0,100.0
0,Arthur,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/ARTHUR.png,10,8,0,6,8,18,885,5,2,0,0.0,11.11,43.75,50.0
0,Askildsen,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/ASKILDSEN.png,7,9,1,4,11,16,723,6,5,0,0.0,31.25,43.75,85.71
0,Asllani,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,8,9,0,0,15,17,826,1,2,0,0.0,11.76,37.5,12.5
0,Badelj,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/BADELJ.png,29,0,0,1,2,29,2466,9,3,0,0.0,10.34,90.62,31.03
0,Bajrami,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/BAJRAMI.png,21,9,0,0,2,30,1830,16,2,0,26.67,6.67,90.62,76.19
0,Bakayoko,Milan,https://content.fantacalcio.it/web/campioncini/card2021/BAKAYOKO.png,5,7,0,7,13,12,482,4,3,0,0.0,25.0,34.38,80.0
0,Bandinelli,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/BANDINELLI.png,19,11,1,0,1,30,1581,19,8,0,16.67,26.67,87.5,100.0
0,Barak,Verona,https://content.fantacalcio.it/web/campioncini/card2021/BARAK.png,23,2,0,4,3,25,2041,5,3,0,36.0,12.0,78.12,21.74
0,Barella,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BARELLA.png,29,0,1,0,2,29,2392,15,7,0,34.48,24.14,90.62,51.72
0,Baselli,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/BASELLI.png,2,10,0,2,18,12,386,2,1,0,0.0,8.33,31.25,100.0
0,Basic,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/BASIC.png,7,16,0,1,8,23,752,5,3,0,8.7,13.04,43.75,71.43
0,Benassi,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/BENASSI.png,3,11,0,2,16,14,408,3,2,0,0.0,14.29,34.38,100.0
0,Bennacer,Milan,https://content.fantacalcio.it/web/campioncini/card2021/BENNACER.png,14,12,1,2,3,26,1330,10,5,0,7.69,19.23,75.0,71.43
0,Bernardeschi,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/BERNARDESCHI.png,12,10,1,5,4,22,1137,10,4,0,18.18,18.18,62.5,83.33
0,Bessa,Verona,https://content.fantacalcio.it/web/campioncini/card2021/BESSA.png,5,17,1,2,7,22,737,5,3,1,9.09,18.18,53.12,100.0
0,Bianco,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/BIANCO.png,1,0,0,0,32,0,220,0,1,0,0.0,0.0,0.0,0.0
0,Bohinen,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,1,3,0,0,28,4,126,1,1,0,0.0,25.0,9.38,100.0
0,Bonaventura,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/BONAVENTURA.png,24,2,2,3,1,26,1946,16,6,1,19.23,23.08,81.25,66.67
0,Bourabia,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/BOURABIA.png,2,6,0,11,13,8,275,1,1,0,12.5,12.5,25.0,50.0
0,Bove,Roma,https://content.fantacalcio.it/web/campioncini/card2021/BOVE.png,0,10,0,0,22,10,53,0,0,0,10.0,0.0,6.25,0.0
0,Brozovic,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BROZOVIC.png,28,0,1,1,2,28,2339,11,6,0,3.57,21.43,87.5,39.29
0,Busio,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/BUSIO.png,21,5,1,2,3,26,1780,11,7,0,7.69,26.92,78.12,52.38
0,Calhanoglu,Inter,https://content.fantacalcio.it/web/campioncini/card2021/CALHANOGLU.png,27,1,2,0,2,28,2014,23,8,0,35.71,28.57,84.38,85.19
